기간	자치구	성별	합계	한국계 중국인	중국(한국계 중국인 제외)	미국	타이완	일본	베트남	몽골	필리핀	캐나다	인도	우즈베키스탄	영국	프랑스	타이	러시아	독일	오스트레일리아	네팔	파키스탄	인도네시아	나이지리아	말레이시아	방글라데시	캄 보 디 아	사우디아라비아	홍       콩	뉴질랜드	카자흐스탄	스 리 랑 카	남아프리카 공화국	미  얀  마	싱 가 포 르	이       란	브  라  질	아 일 랜 드	스  웨  덴	이 탈 리 아	터       키	네 덜 란 드	키르기스스탄	멕  시  코	스  페  인	우크라이나	스  위  스	핀  란  드	가       나	벨  기  에	폴  란  드	이  집  트	오스트리아	수       단	아르헨티나	오       만	이 스 라 엘	페       루	덴  마  크	모  로  코	이  라  크	기       타
2018.1/4	서초구	남자	2,123	315	330	295	53	111	34	13	13	66	54	15	65	325	9	18	43	24	6	9	5	3	8	1	17	19	3	8	3	1	4	15	18	1	10	5	8	17	45	5	2	4	10	9	5	1	1	12	4	7	1	-	-	-	5	3	4	3	-	58
2018.1/4	서초구	여자	2,087	431	331	194	76	162	70	19	98	33	31	16	29	244	20	33	33	12	1	4	9	-	12	-	7	7	10	3	6	2	3	4	16	-	12	1	1	16	27	4	-	4	5	7	6	4	-	7	7	3	1	-	-	-	3	3	2	-	-	58
2018.1/4	강남구	계	4,889	771	1,122	749	161	506	168	44	70	143	65	48	83	118	80	64	38	41	16	26	29	1	15	6	21	74	27	12	28	2	26	19	17	17	10	12	10	28	45	11	3	4	13	9	5	7	-	15	1	16	3	-	-	1	1	1	2	11	-	74
2018.1/4	강남구	남자	2,480	292	572	438	86	252	73	7	15	78	55	22	54	78	34	23	20	30	13	17	5	1	8	4	8	48	12	7	13	1	11	18	8	8	4	8	6	18	31	10	1	4	8	3	3	6	-	12	1	10	2	-	-	-	-	-	-	6	-	36
2018.1/4	강남구	여자	2,409	479	550	311	75	254	95	37	55	65	10	26	29	40	46	41	18	11	3	9	24	-	7	2	13	26	15	5	15	1	15	1	9	9	6	4	4	10	14	1	2	-	5	6	2	1	-	3	-	6	1	-	-	1	1	1	2	5	-	38
2018.1/4	송파구	계	6,712	3,354	1,107	412	111	297	290	86	96	99	63	40	37	26	83	31	19	20	10	2	22	1	7	14	68	73	15	14	13	7	10	70	9	13	5	13	-	9	7	2	4	2	5	71	1	1	-	2	-	6	1	-	4	-	3	2	-	3	1	51
2018.1/4	송파구	남자	3,283	1,706	459	234	46	109	106	44	25	53	40	11	27	18	51	8	11	11	6	1	6	-	4	13	44	38	5	13	2	6	6	68	5	6	1	7	-	9	4	1	-	1	3	29	1	1	-	2	-	6	1	-	3	-	3	-	-	1	1	27
2018.1/4	송파구	여자	3,429	1,648	648	178	65	188	184	42	71	46	23	29	10	8	32	23	8	9	4	1	16	1	3	1	24	35	10	1	11	1	4	2	4	7	4	6	-	-	3	1	4	1	2	42	-	-	-	-	-	-	-	-	1	-	-	2	-	2	-	24
2018.1/4	강동구	계	4,198	2,176	671	130	57	140	332	136	75	39	15	37	18	-	23	14	-	12	5	44	10	1	9	12	119	6	2	3	11	16	10	25	1	5	1	2	3	5	-	1	8	2	2	-	-	1	3	-	1	-	-	-	1	-	-	3	-	2	-	9
2018.1/4	강동구	남자	1,982	1,147	226	68	27	18	95	56	16	22	13	21	16	-	2	5	-	7	2	28	3	1	6	11	108	4	1	3	5	15	6	25	1	2	1	1	2	1	-	1	1	2	1	-	-	1	2	-	1	-	-	-	-	-	-	2	-	-	-	6
